#,Item,Unit,Material (R/unit),Labour (R/unit),Default Job Notes
1,High Pressure Washing,each,980,700,"NOTE TO CLIENT: This is a noisy process and can be messy. This should not take more than the indicted days and will be cleaned up. Please point out water sources to be used to the Team Leader upon commencment of work.
•	Apply Alu Revivie to a soft fibre cloth and apply in circular motion till dry
•	Add coates of Alu revive till desired finish is achieved"
7,Mould and Fungi Treatment,m²,12,35,"•	Apply 1 coat Midas FUNGICIDAL WASH to all affected areas.
•	Allow minimum 24 hours reaction time.
•	Remove all growth with a stiff fibre brush.
•	Apply SECOND coat of FUNGICIDAL WASH.
•	DO NOT rinse off the second coat.
•	Failure to follow this sequence risks regrowth."
8,Skimming,m²,45,90,"•	Complete repairs first
•	Allow fillers and repairs to dry
•	Use a steel trowel and Exterior OR Interior Skimfill to achieve smooth uniform surface
•	Sand lightly and wipe down before continuing to prime and paint"
9,Facias/Gutters,lm,30,40,"•	Ensure surfaces are clean inside and out.
•	Seal leaks and joints using All Round Sealer, use Peel and Seel for larger gaps
•	Apply 1 coat of Universal Primer
•	Apply 2 coats of Midalux 240 (colour to be secified)"
10,Exterior Walls Paintwork,m²,60,35,"•	Preperation work quoted separately
•	Remove all loose contaminents and let dry after Pressure Wash.
•	Allow any repair work to fully dry
•	Sand lightly and remove dust
•	Spot prime repairs with Masonry Primer. On new build Prime entire wall with Masonry Primer
•	Apply 2 coats of Midalux 240 (colour to be specified)"
11,Exterior Walls- Textured Intermediate,m²,78,35,"•	Preperation work quoted separately
•	Remove all loose contaminents and let dry after Pressure Wash.
•	Allow any repair work to fully dry
•	Sand lightly and remove dust
•	Spot prime repairs with Masonry Primer. On new build Prime entire wall with Masonry Primer
•	Apply 1 coat of Midamite Fine/Medium/Coarse to suit existing texture (colour to be specified)
•	Apply 2 coats of Midalux 240 (colour to be specified)"
12,Roof Painting,m²,80,65,"•	Ensure roof is dry and clean. Do not paint in high humidity, temperature or probability of mist/rain.
•	Spot prime nails, roof screws and metal fittings with Rust Neutrelizer and Metal Etch Primer.
•	If needed apply 1 coat of Primer
•	Apply 2 coats of Midas Masteroof OR Rubberduck (colour to be specified)"
13,Windows/Doors- Paint Metal,each,185,275,"•	Clean metal with Midas Degreaser
•	Lighlty sand metal to dull uniform surface
•	Add caulk to frame and wall gaps
•	Apply 1 coat Metaletch Primer
•	Apply 1 coat Midaflow Gloss or Midas Masterroof (colour to be specified)"
14,Windows/ Doors- Paint Wood,each,150,225,"•	If bare/ new wood present, apply Midas Woodprime to all new surfaces
•	Lightly sand to uniform colour/appearance
•	Add caulk to frame and wall gaps
•	Replace cracking/dry or missing putty. Use Putty Hardener
•	Spot prime nails, screws or metal fittings with Metal Etch Primer
•	Apply 1 coat of Universal Undercoat
•	Apply 2 coat of Midalux 240 OR 2 coats of Midaflow (ext) WB Non-Drip (int) (colour to be specified)"
15,Windows/Doors- Timber Preserve,each,125,175,"•	Lightly sand to uniform colour/appearance
•	Add caulk to frame and wall gaps
•	Replace cracking/dry or missing putty. Use Putty Hardener
•	Apply 1 coat of Timber Preserve**
•	Lighlty sand and apply second coat of Timber Preserve**
**Please note drying time is 48hrs +"
16,Windows/Doors- Varnish Wood,each,175,275,"•	Lightly sand to uniform colour/appearance
•	Add caulk to frame and wall gaps
•	Replace cracking/dry or missing putty. Use Putty Hardener
•	Apply 1 coat of Indoor/Outdoor Varnish and let dry
•	Lightly sand and apply second coat of Indoor/Outdoor Varnish"
17,Paint Wood,m²,60,45,"•	If bare/ new wood present, apply Midas Woodprime to all new surfaces
•	Lightly sand to uniform colour/appearance
•	Add caulk to frame and wall gaps
•	Replace cracking/dry or missing putty. Use Putty Hardener
•	Spot prime nails, screws or metal fittings with Metal Etch Primer
•	Apply 1 coat of Universal Undercoat
•	Apply 2 coat of Midalux 240 OR 2 coats of Water Based Non-Drip Enamel (colour to be specified)"
18,Varnish Wood,m²,51,55,"•	Lightly sand to uniform colour/appearance
•	Add caulk to frame and wall gaps
•	Replace cracking/dry or missing putty. Use Putty Hardener
•	Apply 1 coat of Indoor/Outdoor Varnish and let dry
•	Lightly sand and apply second coat of Indoor/Outdoor Varnish"
19,Timber Preserve,m²,70,45,"•	Lightly sand to uniform colour/appearance
•	Add caulk to frame and wall gaps
•	Replace cracking/dry or missing putty. Use Putty Hardener
•	Apply 1 coat of Timber Preserve**
•	Lighlty sand and apply second coat of Timber Preserve**
**Please note drying time is 48hrs +"
20,Paint Galvanised Metal,m²,125,45,"•	Lightly sand surface to dull uniform appearance
•	Apply 1 coat of 504 Surface Tolerant Epoxy as Primer
•	Allow 6 to 12 hours (weather depending) to dry before overcoating
•	Apply 1 coat of 504 Surface Tolerant Epoxy
•	Allow to Allow 6 to 12 hours (weather depending) to dry before overcoating
•	Apply 2 coats of 112 Solvent Based Acrithane Sealer"
21,Paint Metal,m²,75,55,"•	Clean metal with Midas Degreaser
•	Lighlty sand metal to dull uniform surface
•	Add caulk to frame and wall gaps
•	Apply 1 coat Metaletch Primer
•	Apply 1 coat Midaflow Gloss or Midas Masterroof (colour to be specified)"
22,Interior Walls Paintwork,m²,55,35,"•	If not skimmed/repaired wash walls with Sugar Soap where contaminated
•	Let repairs/wash completely dry
•	Sand repairs and spot prime with Plaster Primer. On new builds prime entire wall with Plaster Primer
•	Apply two coats of Midafelt 230 (Colour to be specified)"
23,Interior Walls- Textured Intermediate,m²,72,35,"•	If not skimmed/repaired wash walls with Sugar Soap where contaminated
•	Let repairs/wash completely dry
•	Sand repairs and spot prime with Plaster Primer
•	Apply 1 coat of Midamite Fine/Medium/Coarse to suite existing texture (colour to be specified)
•	Apply two coats of Midafelt 230 (Colour to be specified)"
24,Ceiling/Soffits,m²,47,55,"•	Wash ceilings where necessary.
•	Remove all dust, cobwebs or loose contamination with soft bristle brush.
•	Caulk ceilings to cornice or wall.
•	For skimmed ceilings, prime with Midas Plaster Primer.
•	Apply 2coats of Midafelt 225 (colour to be specified)"
25,Skirtings,lm,45,35,"•	Remove loose contaminents and wash with Midas Degreaser where neccesary
•	Allow to fully dry, then sand lightly to remove gloss and get a uniform finish.
•	Caulk skirting where neccesary
•	Apply 1 coat of Universal Undercoat
•	Allow 4 hours for overcoating
•	Apply 2 coats of Midafelt 225 OR 2 coats of Waterbased Non-drip Enamel (colour to be specified)"
26,Cornices,lm,35,35,"•	Remove loose contaminents and wash with Midas Degreaser where neccesary
•	Allow to fully dry, then sand lightly to remove gloss and get a uniform finish.
•	Caulk cornice where neccesary
•	Apply 1 coat of Universal Undercoat
•	Allow 4 hours for overcoating
•	Apply 2 coats of Midafelt 225 OR 2 coats of Waterbased Non-drip Enamel (colour to be specified)"
27,Waterproofing Rising Damp/ Horizontals,m²,140,80,"•	Remove all loose contaminants.
•	Apply 1 coat of Waterpoof Slurry Kit from the floor to +-/ 30cm above the affected area.
•	Wait 1 to 2 hours and apply second coat of Waterproof Slurry Kit to same area.
•	Continue with priming and painting."
28,Waterproofing Roofs/Concrete Deks,m²,135,80,"•	Remove all loose contaminants and materials.
•	Apply flashmesh and coat with PCT36 to corners.
•	Apply two coats of PCT36 Slurry. Ligtly wet concrete before application.
•	Continue with priming and painting. PCT must be overcoated with UV resistant coating."
29,Wood Floors - Sanded to Renew & Varnish,m²,105,65,"• Note to Client: This is a dusty process. The complete floor must be done in one stage. The floor must be clear of furniture.
• Vacuum the floor to remove dust.
• Apply the first coat of indoor varnish thinned with 10% thinners to penetrate the wood.
• Sand the first coat with 300-grit sandpaper in circular movements and wipe clean.
• Apply the final coat. Second painter to lay off the wet varnish to prevent lines -maintaining a wet edge."
30,Wood Floors- Rails/ Decks Varnish,m²,45,55,"• Lightly sand wood to remove loose material and key in the new coat.
• Apply 2 coats Indoor Varnish for woodwork."
31,Floors- Tile Remove,each,750,350,"•	Note to Client: Work following tile removal is a provisional part of the quote- Dependant on substrate condition the quote will have to be reassessed.
•	Larger cracks, imperfections or soft/powdery tops, may influence the cost of Materials. Provision is made is this quote for smaller cracks and imperfections.
•	This does not include skip rental, quoted under additionals
•	Remove tiles
•	Rake out all cracks and vaccuum to remove loose contamination
•	Use anchoring and patching cement to fill all cracks
•	Grind open expansion joints in concrete slab and seal with Skifa FC11"
32,Floors- Cup Grind (Prep),m²,30,45,"Note to Client: Cup grinding is a noisy and dusty process. We recommend to remove all items from the room. We aim to complete the work in the prescribed time.
•	Throuogly sweep floor to remove loose conatminents.
•	Vaccuum floor to remove all dust and finer contaminents.
•	Pass the cup-grinder once over the area to achieve a level uniform top.
•	The objective is to remove the top layer of concrete to create a key coat for the following steps."
33,Floors- Cup Grind (Final),m²,75,90,"Note to Client: Cup grinding is a noisy and dusty process. We recommend to remove all items from the room. We aim to complete the work in the prescribed time.
•	Throuogly sweep floor to remove loose conatminents.
•	Vaccuum floor to remove all dust and finer contaminents.
•	Pass the cup-grinder once over the area to remove high spots
•	Sweep and vacuum floor to remove all dust
•	Using a straight edge, look for high spots and mark with chalk
•	Pass over with the cup-grinder for a second time to cut a smooth uniform finish. 
•	The objective is to grind down the top to a smooth, flat surface, which can be cleaned and sealed."
34,Floors- Pigmented Floor Cote,m²,750,150,"PREREQUISITES: All building work complete. Concrete min 25 MPa, moisture ≤ 10%. Minimum ambient temp: 15°C.
•	Apply 1 coat Floor Screed Primer at ±8 m²/L. Allow 4 hours to dry.
•	Mix full 25 kg of Pigmented Floor Cote bag at once (liquid first, then powder) to a thick, lump-free paste. Must be applied in one continuous session – do not stop mid-section.
•	Trowel onto floor at ±3mm thick (4–5 m² per bag). Work towards yourself. Leave slight ridges or use sponge trowel for colour variation.
•	Allow 60–90 min to set. Lightly wet with block brush + plastic float (circular motion). 
•	Finish with light steel trowel. Remove excess slurry immediately.
•	Allow 24–48 hours, sand with 200 grit; vacuum. 
•	Apply 1–2 coats Colour Retaining Primer (10 m²/L, 4–6 hrs between).
•	Allow to dry overnight
•	Apply 2–3 coats Acrithane sealer"
35,Floors- 504 Surface Tolerant Epoxy,m²,150,60,"•	Remove salt contamination with fresh water and Holdtight® 102
•	Sand and vacuum the floor thoroughly
•	Moisture content must be below 15%
•	Sound old coatings may be left in place
•	Remove all filters from spray equipment
•	Mix 504 Epoxy to 4:1, where 4 parts A and 1 part B.
•	Apply first coat of 504
•	Allow to dry overnight
•	Apply second Coat of 504 Epoxy
•	Allow 24 hours for final coat to cure before light use
•	Allow 7 days curing before full use- Do not put down any furnuture on the floor before this time, it will leave marks as Epoxy cures under the weight."
36,Floors- FC Marble (Cement Application),m²,306,90,"•	Apply 1 coat Floor Coat Screed Primer (D135) at ±8 m²/L
•	Apply 2 coats Tread FC Marble at max 1mm thickness per coat over 20–25 m² per 8 kg kit
•	Allow 4 hours between coats. Sand between coats and vacuum
•	Apply second coat in same manner. Sand and vacuum final coat before sealing.
•	Apply 1 coat Colour Retaining Primer at ±10 m²/L. Allow 4–6 hrs drying.
•	Apply 2 coats Acrithane sealer at ±10 m²/L per coat. Allow 8 hrs between coats. Full cure: 7 days (light traffic after 3 days)."
37,Floors- FC Marble (Tile Application),m²,465,180,"•	Apply D204 Epoxy Putty on all grout lines of tiles.
•	Cup grind tiles to remove the glaze to allow mechanical adhesion
•	Apply 1 coat of 504 Epoxy
•	While Epoxy cures (2 to 3 hours after application) apply 1 layer of GR.1 sand
•	Allow to cure overnight, sweep all loose sand
•	Apply 1 coat of Floor Screed Primer (D135) at ±8 m²/L
•	Apply Self-Levelling Screed primer to smooth floor
•	Sand to remove top laitance, vacuum thorougly
•	Apply 1 coat of Floor Screed Primer (D135) at ±8 m²/L
•	Close all windows and doors to prevent contamination
•	Sweep and vacuum floors
•	Apply 2 coats Tread FC Marble at max 1mm thickness per coat over 20–25 m² per 8 kg kit
•	Allow 4 hours between coats. Sand between coats and vacuum
•	Apply second coat in same manner. Sand and vacuum final coat before sealing.
•	Apply 1 coat Colour Retaining Primer at ±10 m²/L. Allow 4–6 hrs drying.
•	Apply 2 coats Acrithane sealer at ±10 m²/L per coat. Allow 8 hrs between coats. Full cure: 7 days (light traffic after 3 days)."
